일시,가격
2013-07-27,1831
2013-07-28,1831
2013-07-29,1831
2013-07-30,1824
2013-07-31,1816
2013-08-01,1717
2013-08-02,1727
2013-08-03,1727
2013-08-04,1727
2013-08-05,1727
2013-08-06,1713
2013-08-07,1751
2013-08-08,1751
2013-08-09,1751
2013-08-10,1751
2013-08-11,1751
2013-08-12,1751
2013-08-13,1784
2013-08-14,1727
2013-08-15,1727
2013-08-16,1844
2013-08-17,1844
2013-08-18,1844
2013-08-19,1793
2013-08-20,1799
2013-08-21,1813
2013-08-22,1876
2013-08-23,1876
2013-08-24,1876
2013-08-25,1876
2013-08-26,1833
2013-08-27,1787
2013-08-28,1816
2013-08-29,1699
2013-08-30,1713
2013-08-31,1713
2013-09-01,1713
2013-09-02,1753
2013-09-03,1753
2013-09-04,1753
2013-09-05,1806
2013-09-06,1806
2013-09-07,1806
2013-09-08,1806
2013-09-09,1806
2013-09-10,1806
2013-09-11,1741
2013-09-12,1751
2013-09-13,1814
2013-09-14,1814
2013-09-15,1814
2013-09-16,1751
2013-09-17,1837
2013-09-18,1837
2013-09-19,1837
2013-09-20,1837
2013-09-21,1837
2013-09-22,1837
2013-09-23,1791
2013-09-24,1791
2013-09-25,1791
2013-09-26,1709
2013-09-27,1656
2013-09-28,1656
2013-09-29,1656
2013-09-30,1640
2013-10-01,1640
2013-10-02,1554
2013-10-03,1554
2013-10-04,1517
2013-10-05,1517
2013-10-06,1517
2013-10-07,1589
2013-10-08,1503
2013-10-09,1503
2013-10-10,1561
2013-10-11,1553
2013-10-12,1553
2013-10-13,1553
2013-10-14,1574
